prox1,prox2,prox3,prox4,prox5,prox6,prox7,prox8,prox9,prox10,prox11,prox12,prox13,prox14,prox15,prox16,prox17,prox18,prox19,prox20,prox21,prox22,prox23,prox24,prox25,prox26,prox27,prox28,prox29,prox30,prox31,prox32,prox33,prox34,prox35,prox36,prox37,prox38,prox39,prox40,prox41,prox42,prox43,prox44,prox45,prox46,prox47,prox48,prox49,prox50,prox51,prox52,prox53,prox54,prox55,prox56,prox57
0.4104804,0.4280702,0.2489083,0.4506579,0.5145229,0.5884615,0.4642857,0.461017,0.3362446,0.3842795,0.3100437,0.4104804,0.4671533,0.4184397,0.489083,0.510917,0.349345,0.5021834,0.4803493,0.5941423,0,0.3406114,0.6351931,0.4349594,0.558952,0.2227074,0.1266375,0.1353712,0.2489083,0.6572438,0.4918033,0.6187291,0.4246231,0.4366812,0.3719008,0.5111111,0.4305949,0.4195804,0.419214,0.4564565,0.4847161,0.6026201,0.3056768,0.5065502,0.2532751,0.3362446,0.376569,0.5982533,0.5152838,0.4803493,0.5505618,0.4472656,0.4477912,0.4642857,0.3275109,0.4382023,0.5458515
0.3856502,0.5192983,0.3991031,0.430921,0.4647303,0.4692308,0.55,0.4779661,0.3946188,0.4439462,0.4529148,0.4439462,0.5109489,0.5283688,0.3049327,0.4618834,0.470852,0.3421053,0.4622222,0.4393305,0.3406114,0,0.4077253,0.5365854,0.5067264,0.1704036,0.1121076,0.1076233,0.2107623,0.3568905,0.442623,0.3979933,0.4221106,0.3632287,0.4752066,0.5111111,0.427762,0.4965035,0.3363229,0.4534535,0.3183857,0.4618834,0.2242152,0.32287,0.4753363,0.4484305,0.5690377,0.4529148,0.3318777,0.2914798,0.4831461,0.4316406,0.439759,0.4375,0.3991031,0.5243446,0.5022421
0.3948498,0.477193,0.2575107,0.4473684,0.4813278,0.5192308,0.4607143,0.4745763,0.360515,0.3648069,0.3819743,0.4420601,0.4817518,0.4787234,0.3948498,0.4763949,0.4034335,0.4206009,0.472103,0.5355648,0.6351931,0.4077253,0,0.5121951,0.5407726,0.2017167,0.1373391,0.1373391,0.2660944,0.4840989,0.4721311,0.4682274,0.4447236,0.4120172,0.4545455,0.5074074,0.4475921,0.458042,0.3519313,0.4624625,0.4077253,0.5107296,0.2618026,0.3948498,0.3433476,0.4120172,0.4686193,0.5493562,0.3862661,0.3733906,0.5243446,0.4550781,0.4518072,0.4464286,0.3390558,0.4382023,0.5107296
0.4593496,0.6385965,0.4146341,0.4638158,0.5528455,0.55,0.6285715,0.6508474,0.4878049,0.504065,0.4715447,0.394309,0.6642336,0.6560284,0.4552846,0.4390244,0.4308943,0.3577236,0.4837398,0.5121951,0.4349594,0.5365854,0.5121951,0,0.7398374,0.1910569,0.1422764,0.1178862,0.1951219,0.4381625,0.5639344,0.4849498,0.4874372,0.4349594,0.4512195,0.6,0.5467422,0.5594406,0.3617886,0.4684685,0.3780488,0.5243902,0.2926829,0.3495935,0.3739837,0.5406504,0.6341463,0.6056911,0.3699187,0.3617886,0.5617977,0.4785156,0.4859438,0.4665179,0.3861789,0.6591761,0.7195122
0.4864865,0.554386,0.3828829,0.4144737,0.4937759,0.5038462,0.55,0.5627118,0.4459459,0.463964,0.4279279,0.3873874,0.5912409,0.5780142,0.463964,0.481982,0.4684685,0.381579,0.4666667,0.5271966,0.558952,0.5067264,0.5407726,0.7398374,0,0.1936937,0.1036036,0.1081081,0.1981982,0.4487633,0.5081967,0.4749164,0.4271357,0.4594595,0.3842975,0.5481482,0.470255,0.5104895,0.3873874,0.4504505,0.481982,0.6531532,0.3468468,0.4414414,0.2657658,0.536036,0.5313808,0.7219731,0.30131,0.3648649,0.5468165,0.4335938,0.4417671,0.4352679,0.3378378,0.5730337,0.9099099
0.2028985,0.1894737,0.2025317,0.2335526,0.219917,0.2038462,0.2178571,0.1932203,0.1909548,0.1980676,0.1840796,0.2058824,0.2116788,0.1914894,0.2211055,0.2009346,0.1640212,0.2149123,0.2133333,0.1966527,0.2227074,0.1704036,0.2017167,0.1910569,0.1936937,0,0.1792453,0.1981132,0.3214286,0.2226148,0.1967213,0.2107023,0.2060301,0.2105263,0.1776859,0.1777778,0.1898017,0.1853147,0.2139037,0.1711712,0.1722222,0.1764706,0.173913,0.2164948,0.2009346,0.2061856,0.1882845,0.1928251,0.2358079,0.2380952,0.2097378,0.2050781,0.1987952,0.2075893,0.2065217,0.2247191,0.1915888
0.1304348,0.122807,0.1455696,0.1118421,0.1701245,0.1461539,0.1321429,0.1322034,0.1105528,0.1304348,0.1094527,0.127451,0.1240876,0.1134752,0.1457286,0.1214953,0.1481481,0.1052632,0.16,0.1213389,0.1266375,0.1121076,0.1373391,0.1422764,0.1036036,0.1792453,0,0.1621622,0.2232143,0.1166078,0.1180328,0.1204013,0.1557789,0.1473684,0.1694215,0.1407407,0.1303116,0.1363636,0.1283422,0.1291291,0.1222222,0.1176471,0.1086956,0.1185567,0.135514,0.128866,0.1464435,0.1076233,0.1310044,0.1375661,0.1310861,0.140625,0.1425703,0.1383929,0.1467391,0.1273408,0.1074766
0.0966184,0.1017544,0.0886076,0.1118421,0.1161826,0.1192308,0.1142857,0.1254237,0.1105528,0.1449275,0.119403,0.1029412,0.1240876,0.1134752,0.1105528,0.0981308,0.1164021,0.1052632,0.1022222,0.1297071,0.1353712,0.1076233,0.1373391,0.1178862,0.1081081,0.1981132,0.1621622,0,0.1875,0.1060071,0.1081967,0.1270903,0.1180905,0.1368421,0.0909091,0.1074074,0.1133144,0.1048951,0.0855615,0.1141141,0.1,0.1402715,0.1521739,0.0721649,0.0934579,0.0927835,0.125523,0.1210762,0.1310044,0.1111111,0.1385768,0.1191406,0.12249,0.1227679,0.125,0.1123596,0.1121495
0.1932367,0.2105263,0.1898734,0.2203947,0.219917,0.2230769,0.1928571,0.1966102,0.1758794,0.2028985,0.2039801,0.25,0.189781,0.1950355,0.201005,0.2242991,0.2275132,0.2236842,0.2222222,0.2175732,0.2489083,0.2107623,0.2660944,0.1951219,0.1981982,0.3214286,0.2232143,0.1875,0,0.2120141,0.1803279,0.2006689,0.2110553,0.2,0.2107438,0.2148148,0.1784703,0.2027972,0.1925134,0.2192192,0.1722222,0.2081448,0.173913,0.185567,0.1635514,0.1752577,0.209205,0.2107623,0.1703057,0.2010582,0.2209738,0.2167969,0.2148594,0.2120536,0.1793478,0.1985019,0.2056075
0.4522968,0.477193,0.254417,0.625,0.4734982,0.5547703,0.5547703,0.5355932,0.4169611,0.409894,0.3498233,0.4204947,0.5017668,0.4628975,0.4169611,0.4063604,0.2614841,0.5194346,0.4204947,0.5159011,0.6572438,0.3568905,0.4840989,0.4381625,0.4487633,0.2226148,0.1166078,0.1060071,0.2120141,0,0.6491804,0.8762542,0.5527638,0.3886926,0.3710247,0.4876325,0.5694051,0.5244755,0.409894,0.5495495,0.4204947,0.5229682,0.3462898,0.459364,0.2968198,0.3286219,0.3710247,0.5406361,0.5689046,0.5017668,0.5229682,0.5527344,0.5461847,0.5669643,0.3215548,0.5335689,0.4416961
